Headline,Category
L'Est Républicain: три человека выпрыгнули из самолета при крушении во Франции,ЧП
Медведев: только исполненные обещания дают партии право вести за собой людей,Политика
"Хинштейн возглавит региональную группу ""Единой России"" на выборах Госдуму",Политика
В Омской области ввели режим неблагоприятных метеорологических условий,Погода
"Трутнев возглавил группу списка ""Единой России"" в регионах Дальнего Востока",Политика
Эксперт Бхадаурия назвал ЗРК С-400 основой ПВО Индии,Политика
Врио главы Дагестана возглавил региональную группу ЕР на выборах в Госдуму,Политика
"Стратегические цели, доверие избирателей и безопасность РФ. Путин на съезде единороссов",Политика
"Расселл стал победителем Гран-при Австрии ""Формулы-1""",Спорт
"""Роснефть"" увеличила отпуск бензина на АЗС Иркутской области до 2,7 тыс. тонн",Экономика
"Лидеры предвыборного списка ""Единой России"". Как менялась первая пятерка партии",Политика
В мероприятиях Дня молодежи приняли участие более 7 млн россиян,Общество
"Дзюдоист Сангариев рассказал, что советы товарища помогли победить в Китае",Спорт
"Медведев назвал лидеров списка ""Единой России"" на выборах",Политика
Медведев: России необходим технологический суверенитет,Политика
В Горловке при атаке ВСУ по автобусу пострадали три человека,ЧП
The Observer: Стармер заинтересовался постом генсека НАТО,Политика
"Медведев: ""Единая Россия"" умеет превращать запросы граждан в государственные решения",Политика
"Медведев: ""Единая Россия"" улучшила взаимодействие с институтами гражданского общества",Политика
Медведев: укрепление экономики должно стать ответом на беспрецедентное давление,Экономика
Пострадавшие от удара ВСУ по домам 31 мая в Геническе получат компенсации,Общество
"Сальдо: ВС РФ все чаще пресекают предпринимаемые ВСУ атаки БПЛА на трассе ""Новороссия""",Конфликты
Медведев предложил утвердить редакцию новой народной программы ЕР в августе,Политика
"Кравцов: в России за семь лет построили более 1,6 тыс. новых школ",Общество
Сальдо: дроны ВСУ мешают ремонтировать дороги и подстанции в Херсонской области,Конфликты
Медведев: каждой семье надо стараться обеспечить комфортные условия для жизни,Общество
"""Шанхай Шэньхуа"" Слуцкого впервые за два месяца выиграл матч в чемпионате Китая",Спорт
АКОРТ: в торговых сетях России сохраняется стабильный ассортимент гречки,Экономика
На большинстве заправок Краснодара есть топливо,Экономика
Медведев: без победы в СВО никакой безопасности России не будет,Политика
ЕР помогла улучшить качество жизни 30 млн человек благодаря устранению свалок,Общество
В Москве перекрывали движение на некоторых улицах,Транспорт
Возинья вошел в символическую сборную ЧМ-2026 по версии Opta,Спорт
Медведев назвал попытки Запада навязать чуждые ценности частью гибридной войны,Политика
Минобороны Казахстана предупредило о перемещении военной техники из-за учений,Политика
Медведев назвал достойную работу фундаментом для семьи,Общество
"Путин призвал кандидатов на выборах чаще выходить ""в поле"" и общаться с людьми",Политика
"Путин пожелал ""Единой России"" удачи на выборах",Политика
"Медведев: список ЕР на выборах должны возглавить люди, которых знает страна",Политика
В Британии семь человек утонули на фоне аномальной жары,ЧП
"Медведев: гуманитарная миссия ""Единой России"" работает с первых дней СВО",Политика
"Медведев призвал ""Единую Россию"" честно и открыто разговаривать с людьми",Политика
Медведев: благополучное будущее России начинается с семьи,Общество
"Медведев: ""Единая Россия"" выполнила взятые на себя обязательства перед избирателями",Политика
Путин: в мире множатся региональные конфликты,Политика
Победитель Гран-при по дзюдо в Китае Башаев не ставил себе задачи на медаль,Спорт
"Путин: Запад поощряет Киев, который выбрал в качестве тарана в борьбе с РФ",Политика
"Путин призвал ""Единую Россию"" сделать все для победы в СВО",Политика
"Лихачев: все, что Росатом предлагает за рубежом, уже серийно производится в РФ",Экономика
В Орловской области объявили ракетную опасность,ЧП
Медведев: с 2021 года предприниматели получили льготные кредиты почти на 5 трлн рублей,Экономика
"Медведев: ""Единая Россия"" идет на выборы сильной командой",Политика
Решение продлить нулевую пошлину на бензин в рамках ЕАЭС примут на следующей неделе,Экономика
"Медведев заявил, что будущее России определяют только ее граждане",Политика
"Медведев: добровольцы ""Единой России"" в кратчайшие сроки приходили на помощь",Политика
Путин отметил большое число молодежи среди кандидатов-единороссов на осенних выборах,Политика
Эксперт Бхадаурия: РФ и Индия 96% расчетов между собой осуществляют в нацвалютах,Экономика
В России решили снизить норматив продаж бензина на бирже до 10%,Экономика
Эксперт Минздрава Дроздова: вино не несет никакой пользы для сердца,Наука
"Дзюдоистка Старцева считает, что ""поймала свою волну"" на Гран-при в Циндао",Спорт
Семин оценил работу Каннаваро в сборной Узбекистана,Спорт
Лихачев: двойственную позицию МАГАТЭ по поводу ситуации на ЗАЭС нельзя принять,Политика
"Эксперт Язев: астероид, который пролетит над Россией в 2029 году, будет похож на звездочку",Наука
Путин заявил о добрых отношениях со всеми фракциями Госдумы,Политика
ТАСС: в Чернигове намерены ограничить реализацию топлива на АЗС по примеру Сум,Экономика
"Медведев: высшую партийную школу ""Единой России"" прошли 350 тыс. человек",Политика
В саммите БРИКС в Индии примут участие культурные организации из РФ,Культура
OE24: в Вене установили новый температурный рекорд,Погода
Путин назвал традиционные ценности мощной опорой для объединения общества России,Политика
"Медведев: участие бойцов СВО в выборах укрепляет позиции ""Единой России""",Политика
Медведев назвал сохранение и приумножение народа приоритетом новой программы ЕР,Политика
В ФРГ из-за лесного пожара эвакуировали более 650 человек,ЧП
На западе США при тушении лесного пожара погибли трое пожарных,ЧП
Медведев: единство России сильнее западной цивилизации,Политика
"ТАСС: мобилизационный потенциал Украины оценивают в 1,1-1,3 млн человек",Политика
Для защиты Белгородской области от ВСУ планируют создать восемь батальонов БАРС,Конфликты
"Медведев поставил ""Единой России"" цель безоговорочной победы на выборах",Политика
Путин назвал свободу человека и суверенитет России равнозначными понятиями,Политика
"Путин назвал высокой честью то, что ""Единая Россия"" заслужила статус партии-лидера",Политика
В Оренбуржье в ДТП погиб человек,ЧП
"Путин: Россию ""пробуют на зуб"" и пытаются от нее избавиться",Политика
Медведев призвал ЕР вести избирательную кампанию без высокомерия и паники,Политика
Эрдоган: виновные в геноциде в Газе обязательно понесут наказание,Политика
"Медведев: ""Единая Россия"" не позволит врагам стереть Россию с карты мира",Политика
Путин: Россия твердо стоит на ногах,Политика
Медведев: поддержка Западом нацистского режима в Киеве привела к распаду Украины,Политика
"Путин призвал ""Единую Россию"" наращивать темпы работы во всех сферах",Политика
"""Нас невозможно сломить"". Медведев ожидает попыток нарушить ход думской кампании",Политика
Лихачев: некоторые страны готовы сотрудничать с Росатомом после окончания СВО,Экономика
Путин: конкурентная борьба на выборах в Госдуму будет открытой и честной,Политика
Путин назвал бойцов СВО подлинной элитой России,Политика
"Путин: Россия может быть только сильной, иначе ее не будет",Политика
"Путин: Россия проходит трудный этап, но это многому учит",Политика
Путин: Киев отступает и поэтому перешел к террористическим действиям,Политика
Путин: у Запада не получается победить Россию на поле боя,Политика
Путин даст поручения по обеспечению безопасности выборов в сентябре,Политика
"Путин: человек не может быть свободен, если не свободны его народ и страна",Политика
Суперкомпьютер Opta назвал нового фаворита ЧМ-2026 перед стартом плей-офф,Спорт
СК организовал проверку по факту смерти матери и младенца в роддоме в Иркутске,ЧП
"Путин поддержал инициативу ""Единой России"" о признании особого статуса учителя",Политика
Патриарх Кирилл освятил отреставрированный Успенский собор Тульского кремля,Культура
Путин: выборы в Госдуму пройдут в строгом соответствии с законом,Политика
Путин: стратегические планы России будут реализованы,Политика
Глава института Forsa: Мерц совершает много ошибок на посту канцлера ФРГ,Политика
Путин: внутреннее единство не дает покоя недоброжелателям России,Политика
Путин заверил в выполнении всех социальных обязательств государства,Политика
Путин: экономику России выведут на новый технологический уровень,Экономика
"От первых списков до ""народной программы"". История предвыборных съездов ""Единой России""",Политика
"О большинстве, ответственности и развитии. Цитаты президентов на съездах ""Единой России""",Политика
Путин назвал беспрецедентным давление Запада на Россию,Политика
Путин: неприкосновенность рубежей России и ее безопасность будут обеспечены,Политика
"В ""Краснодаре"" объяснили, почему решили вернуть в команду футболиста Уткина",Спорт
На Камчатке в программу арендного жилья включат свыше 600 квартир,Общество
Путин назвал нынешнее время судьбоносным для страны,Политика
Лихачев: Россия донесет до всего мира факт террора ВСУ против персонала ЗАЭС,Политика
В ДНР при атаке дрона ВСУ пострадали два человека,ЧП
"ВОЗ сообщила о более чем 1,3 тыс. преждевременных смертей в Европе из-за жары",Погода
"Путин выступает на съезде ""Единой России""",Политика
Новак: власти 29 июня обсудят возможность полного запрета экспорта дизеля,Экономика
Вучич: Сербия не проводит учений с Россией,Политика
INA: в Ираке задержали более 40 госчиновников по обвинению в коррупции,ЧП
"Путин прибыл на съезд ""Единой России""",Политика
"Путин и Медведев выступили на съезде партии ""Единая Россия"". Видео",Политика
"Захарова: Зеленский снова предал память предков, решив установить памятник Мазепе",Политика
Лихачев: ограничения не позволяют МАГАТЭ говорить об источниках угрозы для ЗАЭС,Политика
"Мишустин участвует в предвыборном съезде ""Единой России""",Политика
"В Москве начал работу съезд ""Единой России""",Политика
"Матвиенко участвует в предвыборном съезде ""Единой России""",Политика
"Володин участвует в предвыборном съезде ""Единой России""",Политика
Во Франции назвали причину крушения легкомоторного самолета,ЧП
Вучич: Сербия использует опыт Ирана по созданию подземных укрытий для беспилотников,Политика
Депутат Рады Гончаренко: Украине пора перестать считать конституцию просто бумажкой,Политика
Патрушев заявил о готовности России к безвозмездным поставкам зерна в Африку,Политика
Никитин: льготными билетами на самолеты воспользовались 25 млн человек,Транспорт
Новак: Россия пока не вводила запрет на экспорт топлива по межправсоглашениям,Экономика
Новак назвал возможность импорта топлива одной из мер для стабильности рынка,Экономика
Новак: власти пока не приняли решения по полному запрету экспорта дизтоплива,Экономика
В Белгородской области ветеранов СВО будут привлекать к управленческой работе,Общество
Патрушев: в России практически завершена посевная компания,Экономика
Вучич: в ближайшее время в армии Сербии появятся подразделения по управлению БПЛА,Политика
Глава Поморья назвал приоритетные для народной программы ЕР направления,Политика
Il Tirreno: в Тоскане ограбили виллу семьи тенора Андреа Бочелли,ЧП
В Поморье решают вопрос с обеспечением топливом лесозаготовителей,Экономика
Во Франции при крушении самолета погибли 11 человек,ЧП
"В РФ предусмотрят средства на субсидии для ""раскатки"" российских самолетов",Экономика
"В Индии считают, что Путин станет ключевой фигурой на саммите БРИКС",Политика
Предложения по электросамокатам на тротуарах представят через несколько месяцев,Транспорт
"В Москве более 110 пар заключили брак на станции метро ""Маяковская""",Общество
"Эксперт Безгодова назвала 500 баллов на ЕГЭ феноменом, требующим анализа",Наука
Bild: жители ФРГ массово переходят на ночной образ жизни из-за жары,Погода
Handelsblatt: вывод войск США из ФРГ лишит немцев тысяч рабочих мест,Экономика
Спасавший женщину после взрыва газа в Татарстане полицейский отравился продуктами горения,ЧП
"Кравцов поздравил московскую школьницу, сдавшую ЕГЭ на 500 баллов",Общество
В Саудовской Аравии при крушении вертолета Saudi Aramco погибли 14 человек,ЧП
Россияне заняли второе место в медальном зачете на этапе Гран-при Китая по дзюдо,Спорт
WSJ: восстановление базы ВМС США в Бахрейне оценили в $400 млн,Политика
Сальмонеллез из гастронома. Массовое отравление в Астраханской области,ЧП
В Иркутской области ввели режим повышенной готовности из-за ситуации с топливом,ЧП
В России могут установить обязательную долю отечественных фильмов в кинопрокате,Культура
В Москве и Подмосковье ожидается жаркая погода,Погода
Участники протеста в Кишиневе потребовали отставки президента и правительства,Политика
"Капитан ""Динамо"" Фомин назвал Роналду и Месси уникумами",Спорт
"Гендиректор ""Ахмата"" Айдамиров оценил формат ЧМ-2026",Спорт
"ЦАХАЛ сообщил о гибели командира взвода бригады ""Голани"" на юге Ливана",Конфликты
Дзюдоист Башаев победил на этапе Гран-при в Китае,Спорт
"Антон Миранчук считает, что сборная России вышла бы из группы на ЧМ-2026",Спорт
Путин похвалил новый самолет Ил-114-300,Транспорт
В Астраханской области сальмонеллу подтвердили у 26 человек,ЧП
Дзюдоистка Старцева стала победительницей этапа Гран-при в Китае,Спорт
AFP: во Франции значительно выросла смертность из-за жары,Погода
В аэропорту Геленджика сняли временные ограничения,Транспорт
"Соколов предложил включить проект ""зарплат"" бабушкам по уходу за внуками в программу ЕР",Политика
"Путин уверен, что Ил-114-300 будет востребованным на Дальнем Востоке",Транспорт
Томенко назвал поддержку участников СВО задачей для всего общества,Общество
"АЭС ""Пакш"" в Венгрии снизила мощность из-за аномальной жары",Погода
Ici: во Франции разбился легкомоторный самолет,ЧП
В Свердловской области автобус наехал на пенсионерку на пешеходном переходе,ЧП
Последний танец Роналду и Месси подвис. Португальцы не выиграли группу ЧМ,Спорт
В Смоленске в мероприятиях ко Дню молодежи поучаствовали более 30 тыс. человек,Общество
Путин отметил полную независимость России по самолету МС-21,Транспорт
Собянин: в Дмитровском районе Москвы откроется детский сад на 150 мест,Общество
Глава ЗС Запорожья: коррумпированный Киев стал для Запада расходным материалом против РФ,Политика
"Сербия выделит €6,5 млн на завершение строительства храма Святого Саввы",Культура
Семья футболиста Трехо найдена мертвой после землетрясения в Венесуэле,ЧП
ТАСС: Госдума до конца сессии рассмотрит законопроект о поддержке развития ИИ,Политика
MWM: поставленные Украине самолеты F-16 не смогли заменить МиГ-29,Конфликты
"На Запорожье считают, что регион станет энергостолицей юга РФ после запуска ЗАЭС",Экономика
Папа Римский выразил соболезнования в связи с землетрясением в Венесуэле,Общество
На Ставрополье в ДТП погиб человек,ЧП
Бастрыкин потребовал доклад о расследовании массового отравления в Астрахани,ЧП
Депутат Красов: состав фракции ЕР изменится благодаря бойцам СВО,Политика
Шомуродов оценил свой гол в матче с командой ДР Конго на ЧМ,Спорт
В Харькове произошел взрыв,ЧП
"Атакованный ВСУ музейный комплекс ""Самбекские высоты"" закрыт 28 июня",Культура
На Солнце образовалась самая крупная за 2026 год группа пятен,Наука
Дзюдоист Сангариев выиграл этап Гран-при в Китае,Спорт
Иран возобновил регулярные рейсы между Рештом и Астраханью,Транспорт
Takvim: Монтелла останется на посту главного тренера сборной Турции по футболу,Спорт
В России с 1 июля сведения о границах сельхозугодий будут вносить в ЕГРН,Экономика
Собянин: в Москве на территории бывшей промзоны появится индустриальный парк,Экономика
В Москве на двух участках дорог временно закрывали движение,Транспорт
Правительство Израиля одобрило резолюцию о признании геноцида армян,Политика
В аэропорту Геленджика ввели временные ограничения,Транспорт
Зеленский анонсировал установку монумента Мазепе на месте памятника Ленину,Политика
Би-би-си: принц Гарри думает не привозить семью в Англию из-за отказа в охране,Общество
Путин добавил в речь перед выпускниками военных вузов часть о действиях Запада,Политика
В Запорожской области от атак ВСУ за сутки погиб человек,ЧП
Минобороны показало кадры освобождения Новоселовки в Запорожской области,Конфликты
Минобороны показало кадры освобождения Писанцев в Днепропетровской области,Конфликты
В Херсонской области за неделю уничтожили более 190 украинских беспилотников,Конфликты
Путин поздравил коллектив комитета по внешним связям Санкт-Петербурга с 35-летием,Политика
ТАСС: самолет США не смог улететь из Рамштайна из-за технических проблем,Транспорт
Чертова дюжина на траве. Российские теннисисты стартуют на Уимблдоне,Спорт
В аэропорту Калуги сняли ограничения,Транспорт
Вучич: в ВС Сербии восстановят службу по призыву с марта 2027 года,Политика
МИД Ирана призвал страны не вмешиваться в ситуацию в Ормузском проливе,Политика
Эксперт Головатюк: Молдавия не в состоянии обеспечивать бюджетные расходы,Экономика
Освобождение Писанцев существенно нарушило устойчивость обороны ВСУ,Конфликты
"""Купол Донбасса"" за неделю предотвратил 112 атак украинских дронов на ДНР",Конфликты
В Белгородской области при атаке дрона ВСУ пострадала женщина,ЧП
"Футболист Бонгонда назвал ""Спартак"" лучшим клубом России",Спорт
Мирра Андреева сохранила пятое место в рейтинге WTA,Спорт
В России разработают ГОСТ на проектирование городов с учетом изменения климата,Наука
В Скадовске при ударе ВСУ по автопарку сгорели порядка 40 автобусов,ЧП
В Кишиневе начался протест против экономической политики Санду,Политика
Роналду против Модрича и хозяева-фавориты. Главные интриги 1/16 финала ЧМ,Спорт
Силы ПВО РФ за сутки сбили 590 украинских БПЛА,Конфликты
ВС РФ освободили Писанцы и Новоселовку,Конфликты
ВСУ в районе Красного Лимана за сутки потеряли 30 военнослужащих,Конфликты
ВС РФ за сутки освободили 26 зданий в Константиновке,Конфликты
СК показал кадры задержания подозреваемого в убийстве девочки в Кузбассе,ЧП
ВСУ за сутки потеряли около 1 460 военных на всех участках СВО,Конфликты
Гений и рекордсмен. Как Месси за три игры переписал историю ЧМ,Спорт
В Смоленске прошло празднование Дня молодежи,Общество
FT: глава испанского газового хаба призвал ЕС отложить запрет на СПГ из России,Экономика
ВС РФ в районе Красного Лимана продолжают продвижение на запад,Конфликты
Шомуродов назвал причины поражения сборной Узбекистана от команды ДР Конго,Спорт
ВС РФ уничтожили два МиГ-29 Воздушных сил Украины,Конфликты
В Набережных Челнах госпитализировали пострадавшую от взрыва газа,ЧП
ТАСС: покупатели гастронома в Астрахани могли отравиться продукцией из курятины,ЧП
"ВС РФ ударили по лагерю оперативного центра спецопераций ""Юг"" ВСУ",Конфликты
В Краснодарском краю объявляли ракетную опасность,ЧП
"В МВД рассказали, на чем строится большинство схем мошенников",Общество
В Ростовской области объявляли ракетную опасность,ЧП
В Херсонской области при атаке дронов ВСУ уничтожили 14 школьных автобусов,ЧП
В Орловской области объявляли ракетную опасность,ЧП
FT: США ищут быстрый и дешевый способ производства ракет после операции в Иране,Политика
The Times: Британия сделает ставку на беспилотники вместо фрегатов и эсминцев,Политика
В Московском зоопарке родились детеныши овец уэссан и дагестанских туров,Общество
"На съезде ""Единой России"" показали плакат ""Быть за Путина - базовый минимум""",Политика
В Екатеринбурге в ДТП пострадали двое детей,ЧП
В Лейпциге из-за аномальной жары приостановили движение трамваев,Погода
В Севастополе флот проведет противодиверсионные тренировки,Конфликты
В Германии зафиксировали самую теплую ночь за всю историю наблюдений,Погода
Тарпищев похвалил Андрееву за работу с психологом,Спорт
Пропавшую в Кузбассе девочку нашли мертвой с признаками насильственной смерти,ЧП
В Тоскане пройдут два музыкальных фестиваля с участием российских исполнителей,Культура
В Набережных Челнах в многоэтажном доме произошел взрыв газа,ЧП
В Одесской области неизвестный поджег пять машин на спецплощадке отдела полиции,ЧП
ТАСС: самолет-разведчик США вновь заметили над Черным морем,Конфликты
Солист Uma2rman: время определит ценность созданных с помощью ИИ песен,Культура
ТАСС: в Астрахани число госпитализированных с отравлением выросло до 23,ЧП
"Петербург принял на празднике ""Алые паруса"" выпускников из 36 регионов России",Культура
Медведев: Запад воспринимает Армению как инструмент борьбы против России,Политика
"Медведев: расправы с оппонентами стали ""визитной карточкой"" властей Армении",Политика
Медведев: политические амбиции оказались для Еревана выше национальных интересов,Политика
Медведев предупредил Армению о последствиях разрыва связей с РФ,Политика
Бастрыкин поручил доложить ему о ходе расследования убийства девочки в Кемерове,ЧП
Медведев: Россия будет судить о намерениях властей Армении по их поступкам,Политика
Медведев назвал беспрецедентным вмешательство Запада в выборы в Армении,Политика
Медведев: отличительной чертой выборов в Армении стали нападки на оппозицию,Политика
Медведев: Армении будет сложно избавиться от диктата Запада,Политика
Предполагаемый убийца девочки в Кузбассе был судим,ЧП
Медведев назвал преследование Царукяна властями Армении новым витком репрессий,Политика
"Politico: Израиль утратил статус ""особого союзника"" США",Политика
"Чесноков считает, что Андреева может проиграть любой сопернице на Уимблдоне",Спорт
Дагестану и Чечне выделили компенсации за помощь пострадавшим от наводнения,Общество
Астроном Язев: летящий к Земле астероид Апофис может врезаться в спутник,Наука
Подозреваемый пытался сжечь тело убитой им девочки в Кузбассе,ЧП
Брынцалов: вызовы времени открыли новые возможности для развития Подмосковья,Политика
UK Defence Journal: у Великобритании нет боеспособных ударных подлодок,Политика
"Тюкавин считает, что Роналду пока что не лучшим образом играет на ЧМ",Спорт
В Запорожье произошли взрывы,ЧП
Лукашенко направился с визитом в регион Восточной и Юго-Восточной Азии,Политика
АзерТАдж: из России в Армению через Азербайджан отправили 770 тонн пшеницы,Экономика
ТАСС:  причастного к попытке теракта в Крыму полковника ГУР Украины ликвидировали,Конфликты
В Бахрейне заявили о повреждении жилого дома из-за атаки Ирана,ЧП
Мэр Энергодара опроверг распространяемые ВСУ данные о якобы эвакуации города,Политика
Каллас: ЕС выделил €5 млн для поддержки Венесуэлы после землетрясения,Политика
"Эксперт Шилина: мошенники месяцами ""обрабатывают"" ребенка перед обманом",Общество
Кабмин профинансирует создание и модернизацию футбольных полей в регионах,Экономика
В Кувейте сообщили о перехвате двух баллистических ракет,Конфликты
"Тюкавин отметил, что в отпуске Овечкин хорошо играл в волейбол",Спорт
"Эксперт Скальный рассказал, почему вредно чрезмерное потребление фруктов и ягод",Наука
"Тюкавин подтвердил, что ""Спартак"" проявлял к нему интерес",Спорт
"Как ковалась ""Победа"". История автомобиля, который ""благословил"" Сталин",Культура
В аэропортах Краснодара и Волгограда задерживаются 18 рейсов,Транспорт
ВС РФ уничтожили транспорт и пункты управления БПЛА в районе Константиновки,Конфликты
Батутисты на этапе КМ в Швейцарии впервые с 2022 года выступили с флагом РФ,Спорт
Солист Uma2rman назвал самую популярную песню в репертуаре группы,Культура
"В Приморье рассказали, почему к поискам вертолета не привлекают воздушные суда",ЧП
В Адыгее отменили беспилотную опасность,ЧП
Uma2rman: мечта сбылась — наши песни полюбили миллионы,Культура
Собянин: школьница из Москвы первой в истории набрала 500 баллов на ЕГЭ,Общество
Обуза для команды или лидер? О Роналду на групповом этапе ЧМ,Спорт
В исторической части Смоленска в День молодежи начали работу почти 70 площадок,Общество
В Якутске открылся главный национальный праздник лета Ысыах Туймаады,Культура
В аэропорту Сочи задерживаются более 100 рейсов,Транспорт
Эксперт Юшин: в Подмосковье можно найти следы древних морских организмов,Наука
Еще пять российских всадников получили нейтральный статус,Спорт
Швейцария вошла в топ-3 по объемам торговли с Таджикистаном вместе с КНР и РФ,Экономика
"Опрошенные россиянки рассказали, сколько готовы потратить на красоту летом",Общество
В Курской области за сутки сбили 117 беспилотников ВСУ,Конфликты
"Брынцалов рассказал, что стало причиной запрета продажи топлива детям в Подмосковье",Политика
Месси снова забил и помог аргентинцам завершить групповой ЧМ этап с 9 очками,Спорт
"В МВД предупредили об уловке мошенников со следами ""наркотиков"" на купюрах",Общество
Российские пятиборцы прибыли на ЧЕ на сутки позже из-за испанских чиновников,Спорт
В Тульской области отменили опасность атаки БПЛА,ЧП
"""Купол Донбасса"" уничтожил восемь дронов ВСУ над ДНР за сутки",Конфликты
"Жительница Константиновки рассказала, как ВСУ бросали мины в подвал с гражданскими",Конфликты
Госсовет: регионы активно внедряют принципы семейноцентричности,Политика
Каннаваро сожалеет о вылете сборной Узбекистана с чемпионата мира,Спорт
В Челябинской области в ДТП пострадали шесть человек,ЧП
"Наемник из Бразилии рассказал, как Киев обманом заманил его на передовую",Политика
Рекорды Месси и Кейна и выход сборной ДР Конго. Завершился групповой этап ЧМ,Спорт
В Белгородской области при атаках ВСУ за сутки погиб человек,ЧП
"Первичный рынок апарт-отелей Крыма и Кубани вырос в 2,5 раза с 2022 года",Экономика
"В Югре площадь лесных пожаров превысила 3,6 тыс. га",ЧП
Месси стал лучшим бомбардиром группового этапа чемпионата мира - 2026,Спорт
В Ивановской области упали обломки сбитых БПЛА,ЧП
В Нижегородской области отменили беспилотную опасность,ЧП
"Роналду снова без голов. Португальцы не забили, но вышли в плей-офф ЧМ",Спорт
Солист Uma2rman отметил рост интереса молодежи к песням группы,Культура
В аэропортах Иванова и Ярославля сняли ограничения,Транспорт
"Диетолог Лебедева назвала лапшу быстрого приготовления ""пищевым мусором""",Наука
"В РАНХиГС рассказали, что влияет на результаты обучения школьников",Наука
В Ярославской области отменили беспилотную опасность,ЧП
В Иране назвали атаки США нарушением договоренностей об урегулировании,Политика
Около трети опрошенных россиян при появлении ребенка выбирают спокойные маршруты,Общество
В Ивановской области отменили опасность атаки БПЛА,ЧП
"Для вооружения ВС РФ рекомендовали сеткомет ""Паук-30БН"" против FPV-дронов",Конфликты
